,doc_id,youtube_video_id,start_time_sec,end_time_sec,transcription,title,start_time,end_time,url,total_time,total_words
0,1,CTZJSVbzdyU,2.73,53.399, pig little brother mummy pig daddy   play granny pig  pig house cat dream sure dinosaur  plant seed,gardening,00:02.7,00:53.4,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,50.669,17
1,2,CTZJSVbzdyU,55.44,83.72,seed grow plant make little hole seed cover earth water garden grow tiny seed like big apple tree yes tiny seed grow little apple tree like,gardening,00:55.4,01:23.7,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,28.28,26
2,3,CTZJSVbzdyU,85.02,120.96,little apple tree grow big apple tree like inside apple seed open apple tree exactly  want plant seed like plant strawberry seed yes seed grow lovely strawberry plant,gardening,01:25.0,02:01.0,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.94,28
3,4,CTZJSVbzdyU,123.409,154.08,make little hole seekin cover shall water want water good wait grow   wait seed grow patient ,gardening,02:03.4,02:34.1,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,30.671,16
4,5,CTZJSVbzdyU,155.67,173.61,long time grow   time home wait strawberry plant grow strawberry cheese worry  time come seed grow plant,gardening,02:35.7,02:53.6,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,17.94,17
5,6,CTZJSVbzdyU,175.79,205.26,strawberry yes come  bye bye  bye bye strawberry  pig look  strawberry plant day  pig tiny plant grow day day plant grow big big day  pig,gardening,02:55.8,03:25.3,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,29.47,25
6,7,CTZJSVbzdyU,205.95,243.93,special strawberry   come play   plant grow yes look thank parker plant yes  turn choose yes choose  cheese carrot,gardening,03:25.9,04:03.9,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.98,18
7,8,CTZJSVbzdyU,246.57,273.66, think  grow carrot  like grow carrot like grow  think want grow  want grow dinosaur tree silly  dinosaur stick,gardening,04:06.6,04:33.7,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,27.09,18
8,9,KYOWEC3Hx40,2.879,36.32, pig little brother  mummy pig daddy pig   mummy daddy lovely sunny day   wait garden,hiccups,00:02.9,00:36.3,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,33.441,14
9,10,KYOWEC3Hx40,36.88,63.28,play mummy play play finish breakfast  drink juice  drink juice quickly hiccup,hiccups,00:36.9,01:03.3,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.4,12
10,11,KYOWEC3Hx40,67.68,92.96,play mummy  hiccup  hiccup bubby  right play look    love play,hiccups,01:07.7,01:33.0,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,25.28,10
11,12,KYOWEC3Hx40,95.52,121.119, throw ball catch  stop hiccuping  throw ball catch  dear  hiccup spoil game,hiccups,01:35.5,02:01.1,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,25.599,12
12,13,KYOWEC3Hx40,123.68,150.16, know cure hiccup say rub head rub good hiccup  cure hiccup work  wrong,hiccups,02:03.7,02:30.2,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.48,13
13,14,KYOWEC3Hx40,153.12,182.84,know way cure hiccup jump time leg wave arm stick tongue close eye turn time,hiccups,02:33.1,03:02.8,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,29.72,15
14,15,KYOWEC3Hx40,189.04,206.799, new cure work  hiccup know cure ill piggy shock  scare remember game stop hiccup,hiccups,03:09.0,03:26.8,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,17.759,14
15,16,KYOWEC3Hx40,212.08,247.76,remember pretend  play roughly little sorry mummy try stop  hiccup  hiccup come daddy pig beaker  drink quickly,hiccups,03:32.1,04:07.8,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.68,17
