,transcription,title,start_time,end_time,url,total_time,total_words
0, I'm Peppa Pig this is my little brother this is Bobby pig daddy pepper and George are playing at granny Pig and Grandpa pig's house cat what's this dream sure aah aah dinosaur Oh grandpa what are you doing I'm planting these seeds would you still seeds grow into plants I just make a little hole and put the seed in then I cover it with earth and water it,gardening,00:00:02.730,00:01:05.339,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,62.609,70
1, everything in my garden grows from tiny seeds like these even the big apple tree oh yes this tiny seed will grow into a little apple tree like this oh and that little apple tree will grow into a big apple tree like this and inside this Apple are more seeds opening more apple trees exactly grandpa I want to plant a seed would you like to plant a strawberry seed yes please this seed,gardening,00:01:07.320,00:01:57.659,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,50.339,75
2, will grow into a lovely strawberry plant first make a little hole then I put the seekin hmm cover it with her shall I water it for you no no I want to water it good now we wait for it to grow peppa and George are waiting for the seed to grow it's not doing anything No you'll have to be patient Peppa it will take a long time to grow Peppa George it's time to go home but we're,gardening,00:01:58.469,00:02:41.310,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,42.841,81
3, waiting for my strawberry plant to grow oh how did strawberries for cheese don't worry Peppa next time you come the seed will have grown into a plant Oh strawberries yes come on pepper bye bye grandpa bye bye strawberry grandpa pig looks after pepper strawberry plant after many days grandpa Pig finds a tiny plant,gardening,00:02:41.730,00:03:18.300,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.57,56
4, growing day by day the plant grows bigger and bigger in one day grandpa Pig finds something very special strawberries peppa and George have come to play again grandpa grandpa did my plant grow yes look Thank You Parker we plant something else yes now it's George's turn to choose yes you choose George cheese a carrots grandpa I think George was to grow,gardening,00:03:19.760,00:04:08.280,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,48.52,64
5, carrots George would you like to grow a carrot no what would you like to grow me George has thought of something he wants to grow George wants to grow a dinosaur tree silly George dinosaur stick,gardening,00:04:09.120,00:04:33.660,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,24.54,37
6, i'm peppa pig this is my little brother george this is bobby pig and this is daddy pig peppa george mummy and daddy are having it is a lovely sunny day and pepper and george can't wait to go into the garden to play mummy please can we go out to play you can go out to play when you finish,hiccups,00:00:02.879,00:00:43.040,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,40.161,61
7, your breakfast george don't drink your juice too george drank his juice too quickly and now he has hiccups can we go out to play now bobby not while george has hiccups the george's hiccups have gone bubby haven't they george oh all right you can go out and play but look after george,hiccups,00:00:43.520,00:01:25.200,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,41.68,54
8, peppa and george love playing in the george i'm gonna throw the ball and then you have to catch it george please stop hiccuping george now you throw the ball to me and i have to catch it george oh dear george's hiccups are spoiling the game george i know how to cure hiccups you have to do what i say,hiccups,00:01:31.520,00:02:07.920,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.4,61
9, rub the top of your head and rub your good now your hiccups have gone peppa's cure for hiccups doesn't seem to have worked george you've done it all wrong i know a better way to cure hiccups first jump up and down three times on one leg now wave your arms up and down and stick your tongue out,hiccups,00:02:12.640,00:02:48.840,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.2,60
10, and now close your eyes and turn her out three times peppa's new cure hasn't worked either george still has hiccups i know to cure the ill piggy must be given a shock george i'm going to scare you but you must remember it's only a game and it'll stop your hiccups remember this is just pretend it's,hiccups,00:02:56.080,00:03:33.440,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.36,58
11, peppa you mustn't play so roughly with he's only a little sorry bobby i just tried to stop george's hiccups george's hiccups have gone comes daddy pig with two beakers of george if you drink too quickly you will get hiccups again i'm not as little as george i can drink juice as quickly as i want too peppa pig,hiccups,00:03:43.599,00:04:54.840,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,71.241,60
12, I'm Peppa Pig this is my little brother this is mommy pig at this study it is a lovely sunny day and pepper and George are riding their bicycles that's a fine pumpkin daddy pig daddy pig is very proud of his pumpkin pumpkins are the only thing I can grow probably because I love pumpkin pie George Danny Suzy Rebecca peppa and her friends Danny dog Suzy sheep and Rebecca,bicycles,00:00:02.730,00:00:51.239,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,48.509,71
13, rabbit are riding their bicycles George is riding his tricycle he gains they slowly what let's race to daddy pig's pumpkin if we race - that is pumpkin you have to be very careful not to bump into it Oh daddy would be very sad if the pup got broke don't worry Peppa ratio their friends are racing to daddy pig's pumpkin hey watch out for my pumpkin Hey look out daddy's pumpkin,bicycles,00:00:51.629,00:01:31.320,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,39.691,73
14, sorry daddy I can't do it he's going so slowly Oh George is still riding a baby bike what yours is a Bible bike - pepper you still got stabilizers I can ride without my stabilizers me too and me let's ride up the hill again well are you coming pepper no I think I'll stay here me later hi pepper wishes she did not,bicycles,00:01:34.290,00:02:12.980,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,38.69,65
15, have stabilizers on her bicycle daddy I don't want to stabilize it anymore do you think you can ride without them yeah alright pepper let's take them off daddy pig is taking the stabilizers off Pepper's bicycle are you sure you want to ride without stabilizers yes you've never done it before I can do it I can't I can not funny,bicycles,00:02:13.430,00:02:44.720,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,31.29,62
16, riding without stabilizers is not easy would you like some help pepper yes please daddy all right Ready Steady Go daddy don't worry I've got you you're doing really well pepper just keep pepper is riding on her own without stabilizers you've been cycling on your own for ages have I you're really very good at it am i oh I can't do it look at,bicycles,00:02:46.459,00:03:31.130,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,44.671,66
17, me look at me I can ride my bike properly Oh Danny Suzy Rebecca I don't need my stabilizers anymore oh look at look out my pumpkin isn't looking where she's going oh dear Peppa has squashed daddy pig's pumpkin sorry I squash steal pop kick daddy never mind the pumpkin the important thing is that you are okay in future you really must look where you're going I,bicycles,00:03:31.459,00:04:22.740,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,51.281,69
18, promise I will daddy good anyway now the pumpkin is broken I can make it into pumpkin pie a pumpkin pie and because daddy pig's pumpkin is so big there will be enough pumpkin pie for everyone,bicycles,00:04:24.090,00:04:39.450,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,15.36,37
