,doc_id,youtube_video_id,start_time_sec,end_time_sec,transcription,title,start_time,end_time,url,total_time,total_words
0,1,CTZJSVbzdyU,2.73,53.399, pig little brother mummy pig daddy   play granny pig  pig house cat dream sure dinosaur  plant seed,gardening,00:00:02.730,00:00:53.399,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,50.669,17
1,2,CTZJSVbzdyU,55.44,83.72,seed grow plant make little hole seed cover earth water garden grow tiny seed like big apple tree yes tiny seed grow little apple tree like,gardening,00:00:55.440,00:01:23.720,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,28.28,26
2,3,CTZJSVbzdyU,85.02,120.96,little apple tree grow big apple tree like inside apple seed open apple tree exactly  want plant seed like plant strawberry seed yes seed grow lovely strawberry plant,gardening,00:01:25.020,00:02:00.960,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.94,28
3,4,CTZJSVbzdyU,123.409,154.08,make little hole seekin cover shall water want water good wait grow   wait seed grow patient ,gardening,00:02:03.409,00:02:34.080,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,30.671,16
4,5,CTZJSVbzdyU,155.67,173.61,long time grow   time home wait strawberry plant grow strawberry cheese worry  time come seed grow plant,gardening,00:02:35.670,00:02:53.610,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,17.94,17
5,6,CTZJSVbzdyU,175.79,205.26,strawberry yes come  bye bye  bye bye strawberry  pig look  strawberry plant day  pig tiny plant grow day day plant grow big big day  pig,gardening,00:02:55.790,00:03:25.260,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,29.47,25
6,7,CTZJSVbzdyU,205.95,243.93,special strawberry   come play   plant grow yes look thank parker plant yes  turn choose yes choose  cheese carrots,gardening,00:03:25.950,00:04:03.930,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.98,18
7,8,CTZJSVbzdyU,246.57,273.66, think  grow carrots  like grow carrot like grow  think want grow  want grow dinosaur tree silly  dinosaur stick,gardening,00:04:06.570,00:04:33.660,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,27.09,18
8,9,KYOWEC3Hx40,2.879,36.32, pig little brother  mummy pig daddy pig   mummy daddy lovely sunny day   wait garden,hiccups,00:00:02.879,00:00:36.320,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,33.441,14
9,10,KYOWEC3Hx40,36.88,63.28,play mummy play play finish breakfast  drink juice  drink juice quickly hiccup,hiccups,00:00:36.880,00:01:03.280,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.4,12
