,transcription,title,start_time,end_time,url,total_time,total_words
0, little brother  daddy peppa george playing   house cat dream sure dinosaur grandpa planting seed,gardening,00:00:02.730,00:00:53.399,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,50.669,14
1,seed grow plant make little hole seed cover earth water garden grows tiny seed like big apple tree yes tiny seed grow little apple tree like,gardening,00:00:55.440,00:01:23.720,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,28.28,26
2,little apple tree grow big apple tree like inside apple seed opening apple tree exactly grandpa want plant seed like plant strawberry seed yes seed grow lovely strawberry plant,gardening,00:01:25.020,00:02:00.960,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.94,29
3,make little hole seekin cover shall water want water good wait grow peppa george waiting seed grow patient peppa,gardening,00:02:03.409,00:02:34.080,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,30.671,19
4,long time grow peppa george time home waiting strawberry plant grow strawberry cheese worry peppa time come seed grown plant,gardening,00:02:35.670,00:02:53.610,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,17.94,20
5,strawberry yes come peppa bye bye grandpa bye bye strawberry  look peppa strawberry plant day  find tiny plant growing day day plant grows bigger bigger day ,gardening,00:02:55.790,00:03:25.260,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,29.47,26
6,find special strawberry peppa george come play grandpa grandpa plant grow yes look thank parker plant yes george turn choose yes choose george cheese carrot,gardening,00:03:25.950,00:04:03.930,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.98,25
7,grandpa think george grow carrot george like grow carrot like grow george thought want grow george want grow dinosaur tree silly george dinosaur stick,gardening,00:04:06.570,00:04:33.660,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,27.09,24
8, little brother george   peppa george mummy daddy lovely sunny day peppa george wait garden,hiccups,00:00:02.879,00:00:36.320,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,33.441,14
9,play mummy play play finish breakfast george drink juice george drank juice quickly hiccup,hiccups,00:00:36.880,00:01:03.280,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.4,14
